valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,longitude,latitude,population_iris,pop_15_64_iris,nb_logement_iris,tx_pauvrete_iris,tx_menages_imposables_iris,dec_med_iris,disp_med_iris,tx_impot_iris,part_rev_act_salarie_iris,part_rev_chomage_iris,part_rev_retraites_iris,tx_emploi_15_64_iris,tx_cdi_iris,nb_generalistes_iris,nb_paramed_iris,nb_com_alim_iris,nb_eq_sportif_iris,densite_population
142000.0,27.0,1.0,3.8679599761962886,43.60792541503906,4826.0,3768.0,3138.0,29.54889113,47.60353653,16682.0,16927.0,16.8,60.9,6.2,19.9,48.85881104,72.20052083,5.0,31.0,30.0,2.0,29922.011777813146
142000.0,35.0,1.0,3.8679599761962886,43.60792541503906,4826.0,3768.0,3138.0,29.54889113,47.60353653,16682.0,16927.0,16.8,60.9,6.2,19.9,48.85881104,72.20052083,5.0,31.0,30.0,2.0,29922.011777813146
169000.0,109.0,5.0,3.886305093765259,43.59394073486328,2976.0,1800.0,1691.0,16.79723083,63.01684533,21808.0,20867.0,20.2,51.7,3.2,30.9,56.16666667,85.73113208,3.0,27.0,4.0,1.0,11077.510743275505
70000.0,20.0,1.0,3.8697919845581055,43.63859939575195,5483.0,4949.0,3803.0,30.86795736,40.89298370000001,15398.0,16239.0,17.2,62.8,4.0,20.9,32.00646595,64.03806934,3.0,18.0,3.0,3.0,19099.156453923286
54000.0,23.0,1.0,3.8412969112396236,43.60417938232422,1889.0,1255.0,1184.0,19.28438662,59.64566929,21990.0,21012.38095,20.1,44.8,3.5,34.9,57.05179283,79.87519501,5.0,12.0,1.0,3.0,12096.132420818081
112000.0,46.0,2.0,3.841871976852417,43.62352752685547,4326.0,2883.0,2370.0,46.327141999999995,39.43580887,9726.0,12744.66667,13.5,60.6,6.8,26.2,46.93028096,69.46386946,3.0,9.0,13.0,5.0,21009.072099315614
201970.0,47.0,2.0,3.884310960769653,43.60497283935547,2668.0,1928.0,2125.0,22.99237326,51.57740279,18724.0,18502.0,18.6,55.7,4.3,26.3,50.88174274,78.13578826,5.0,13.0,7.0,1.0,19863.122712080218
135000.0,39.0,3.0,3.872911930084229,43.612709045410156,2370.0,2050.0,1938.0,20.94117647,54.52812202,21298.0,20329.047619999998,23.7,54.9,4.1,18.3,45.70731707,62.55144033,11.0,9.0,24.0,0.0,7003.024033105205
120000.0,43.0,2.0,3.869983911514282,43.60286712646485,4826.0,3768.0,3138.0,29.54889113,47.60353653,16682.0,16927.0,16.8,60.9,6.2,19.9,48.85881104,72.20052083,5.0,31.0,30.0,2.0,24701.575680407448
236000.0,70.0,3.0,3.874919891357422,43.62603378295898,2883.0,1964.0,1904.0,13.03216651,67.85992218,25188.0,23835.0,20.4,50.3,2.3,36.1,59.77596741,78.63501484,8.0,17.0,2.0,0.0,10440.872194811396
89000.0,25.0,1.0,3.898535966873169,43.60207748413086,3904.0,3211.0,2728.0,17.98735369,56.36882129,19928.0,19496.0,19.8,71.3,4.6,15.4,52.72500779,77.73512476,0.0,6.0,6.0,2.0,32977.876810440874
155000.0,38.0,3.0,3.8944830894470215,43.60200881958008,3997.0,3062.0,2969.0,22.69796234,49.74160207,17299.0,17383.33333,16.0,67.2,5.1,20.1,57.90333116,76.89075629999999,2.0,6.0,6.0,0.0,61626.6114913258
75000.0,41.0,2.0,3.8465540409088135,43.61988067626953,4326.0,2883.0,2370.0,46.327141999999995,39.43580887,9726.0,12744.66667,13.5,60.6,6.8,26.2,46.93028096,69.46386946,3.0,9.0,13.0,5.0,19099.156453923286
145000.0,46.0,2.0,3.883923053741455,43.6035385131836,3169.0,2458.0,2164.0,25.78139449,42.13230572,15536.0,16781.111109999998,15.7,64.3,5.9,20.1,51.54597234,70.77338129,3.0,15.0,13.0,0.0,12860.098678975011
91000.0,33.0,2.0,3.841670036315918,43.62456130981445,4326.0,2883.0,2370.0,46.327141999999995,39.43580887,9726.0,12744.66667,13.5,60.6,6.8,26.2,46.93028096,69.46386946,3.0,9.0,13.0,5.0,6111.730065255451
93000.0,70.0,3.0,3.8249690532684326,43.61436080932617,2594.0,1881.0,1471.0,38.16155989,33.86287625,11316.0,13993.333330000001,11.9,66.4,7.3,20.2,53.42902711,80.6345733,4.0,7.0,5.0,1.0,12478.115549896545
100000.0,33.0,2.0,3.841670036315918,43.62456130981445,4326.0,2883.0,2370.0,46.327141999999995,39.43580887,9726.0,12744.66667,13.5,60.6,6.8,26.2,46.93028096,69.46386946,3.0,9.0,13.0,5.0,6111.730065255451
92381.0,36.0,2.0,3.85804295539856,43.5901985168457,5374.0,3559.0,2692.0,24.10271374,45.05849133,16010.0,16734.0,14.6,59.9,5.0,28.3,58.16240517,88.68407578,4.0,19.0,7.0,2.0,21518.382938086903
100000.0,48.0,2.0,3.8271870613098153,43.61608505249024,2054.0,1378.0,1238.0,24.31546923,52.47148289,17408.0,17600.0,15.2,59.4,5.7,26.6,60.74020319,88.75816993,3.0,14.0,4.0,3.0,11332.16616266115
40000.0,21.0,1.0,3.8544399738311768,43.62096405029297,4172.0,3154.0,2795.0,39.91313464,34.23522916,11364.0,13454.444440000001,13.0,63.6,7.1,21.9,51.01458465,77.06167706,6.0,13.0,8.0,0.0,22155.02148655101
85000.0,32.0,2.0,3.8489720821380615,43.63851547241211,3898.0,3522.0,3172.0,27.408678600000002,42.31378764,15726.0,16713.33333,16.2,69.1,5.3,16.2,39.23906871,60.79501169,0.0,10.0,1.0,0.0,15533.980582524271
260000.0,71.0,3.0,3.865217924118042,43.61008071899414,2440.0,1868.0,1590.0,22.80461032,52.78884462,20140.0,19768.46154,23.7,51.8,3.9,20.9,47.43040685,74.70414201,8.0,22.0,7.0,1.0,14260.703485596054
65000.0,19.0,1.0,3.867367029190064,43.6372299194336,5483.0,4949.0,3803.0,30.86795736,40.89298370000001,15398.0,16239.0,17.2,62.8,4.0,20.9,32.00646595,64.03806934,3.0,18.0,3.0,3.0,25338.21422887156
400000.0,87.0,3.0,3.863082885742188,43.61359024047852,2094.0,1304.0,1205.0,11.96738559,65.06276151,25772.0,24227.5,23.5,48.7,2.8,26.9,65.64417178,78.51002865,9.0,36.0,7.0,0.0,9422.25051726882
142500.0,46.0,2.0,3.8686540126800537,43.61457061767578,2753.0,2242.0,1857.0,14.36657682,61.96498054,24986.0,23408.8,22.2,56.4,3.2,22.0,44.11239964,66.20046620000001,11.0,55.0,3.0,4.0,22027.69377685819
123000.0,47.0,2.0,3.8734009265899663,43.60951614379883,2437.0,2085.0,1915.0,27.59253594,45.23135033,16102.0,16792.66667,19.6,56.5,6.0,17.2,48.53717026,60.14580802,3.0,4.0,17.0,1.0,25974.85277733567
951670.0,27.0,1.0,3.8962690830230713,43.60524368286133,3997.0,3062.0,2969.0,22.69796234,49.74160207,17299.0,17383.33333,16.0,67.2,5.1,20.1,57.90333116,76.89075629999999,2.0,6.0,6.0,0.0,24574.247970714627
951670.0,26.0,1.0,3.8961260318756095,43.60465621948242,3997.0,3062.0,2969.0,22.69796234,49.74160207,17299.0,17383.33333,16.0,67.2,5.1,20.1,57.90333116,76.89075629999999,2.0,6.0,6.0,0.0,25083.558809485916
951670.0,23.0,1.0,3.894146919250488,43.60314178466797,3997.0,3062.0,2969.0,22.69796234,49.74160207,17299.0,17383.33333,16.0,67.2,5.1,20.1,57.90333116,76.89075629999999,2.0,6.0,6.0,0.0,32850.54910074805
951670.0,30.0,1.0,3.892731904983521,43.60651397705078,2031.0,1519.0,1455.0,22.06353833,54.93358634,19414.0,18917.0,18.0,54.5,3.6,34.3,49.30875576,77.41935484,5.0,28.0,4.0,1.0,14770.014324367341
