valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,longitude,latitude,population_iris,pop_15_64_iris,nb_logement_iris,tx_pauvrete_iris,tx_menages_imposables_iris,dec_med_iris,disp_med_iris,tx_impot_iris,part_rev_act_salarie_iris,part_rev_chomage_iris,part_rev_retraites_iris,tx_emploi_15_64_iris,tx_cdi_iris,nb_generalistes_iris,nb_paramed_iris,nb_com_alim_iris,nb_eq_sportif_iris
142000,27,1,3.867959976,43.60792542,4826,3768,3138,29.54889113,47.60353653,16682,16927,16.8,60.9,6.2,19.9,48.85881104,72.20052083,5,31,30,2
54000,23,1,3.841296911,43.60417938,1889,1255,1184,19.28438662,59.64566929,21990,21012.38095,20.1,44.8,3.5,34.9,57.05179283,79.87519501,5,12,1,3
152000,41,2,3.887901068,43.62756729,3375,2360,1865,10.09530533,71.20567376,26816,25518,23.9,53.9,2.2,25,65.29661017,83.18794607,6,16,3,1
112000,46,2,3.841871977,43.62352753,4326,2883,2370,46.327142,39.43580887,9726,12744.66667,13.5,60.6,6.8,26.2,46.93028096,69.46386946,3,9,13,5
201970,47,2,3.884310961,43.60497284,2668,1928,2125,22.99237326,51.57740279,18724,18502,18.6,55.7,4.3,26.3,50.88174274,78.13578826,5,13,7,1
135000,39,3,3.87291193,43.61270905,2370,2050,1938,20.94117647,54.52812202,21298,20329.04762,23.7,54.9,4.1,18.3,45.70731707,62.55144033,11,9,24,0
120000,43,2,3.869983912,43.60286713,4826,3768,3138,29.54889113,47.60353653,16682,16927,16.8,60.9,6.2,19.9,48.85881104,72.20052083,5,31,30,2
236000,70,3,3.874919891,43.62603378,2883,1964,1904,13.03216651,67.85992218,25188,23835,20.4,50.3,2.3,36.1,59.77596741,78.63501484,8,17,2,0
225000,68,3,3.900620937,43.60408401,3904,3211,2728,17.98735369,56.36882129,19928,19496,19.8,71.3,4.6,15.4,52.72500779,77.73512476,0,6,6,2
155000,38,3,3.894483089,43.60200882,3997,3062,2969,22.69796234,49.74160207,17299,17383.33333,16,67.2,5.1,20.1,57.90333116,76.8907563,2,6,6,0
75000,41,2,3.846554041,43.61988068,4326,2883,2370,46.327142,39.43580887,9726,12744.66667,13.5,60.6,6.8,26.2,46.93028096,69.46386946,3,9,13,5
71000,47,2,3.909934044,43.60635376,5166,3833,3193,15.02021019,62.00519143,20928,20374.66667,20.1,69.4,3.9,15.7,68.92773285,87.69363167,17,43,9,3
131500,50,2,3.859954119,43.60787201,3190,2180,1841,33.71358371,43.04869442,13462,15858,14.3,51.8,4.6,35.4,50.04587156,79.01960784,1,2,6,0
145000,46,2,3.883923054,43.60353851,3169,2458,2164,25.78139449,42.13230572,15536,16781.11111,15.7,64.3,5.9,20.1,51.54597234,70.77338129,3,15,13,0
91000,33,2,3.841670036,43.62456131,4326,2883,2370,46.327142,39.43580887,9726,12744.66667,13.5,60.6,6.8,26.2,46.93028096,69.46386946,3,9,13,5
93000,70,3,3.824969053,43.61436081,2594,1881,1471,38.16155989,33.86287625,11316,13993.33333,11.9,66.4,7.3,20.2,53.42902711,80.6345733,4,7,5,1
100000,48,2,3.827187061,43.61608505,2054,1378,1238,24.31546923,52.47148289,17408,17600,15.2,59.4,5.7,26.6,60.74020319,88.75816993,3,14,4,3
40000,21,1,3.854439974,43.62096405,4172,3154,2795,39.91313464,34.23522916,11364,13454.44444,13,63.6,7.1,21.9,51.01458465,77.06167706,6,13,8,0
